,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,217.3300018310547,220.79666137695312,213.5,220.1666717529297,220.1666717529297,46461300,278.0299987792969,280.9700012207031,276.260009765625,279.32000732421875,275.0050964355469,26259700,136.71128845214844,138.54684448242188,132.6003875732422,133.8145294189453,122.87153625488281,14237838,143.4600067138672,147.10000610351562,142.9600067138672,146.14999389648438,144.65696716308594,96350000
2021-07-21,219.8699951171875,221.6199951171875,216.76333618164062,218.42999267578125,218.42999267578125,41859900,278.8999938964844,281.5199890136719,277.2900085449219,281.3999938964844,277.0529479980469,24364300,133.8145294189453,135.17208862304688,133.50860595703125,135.08604431152344,124.03904724121094,5024984,145.52999877929688,146.1300048828125,144.6300048828125,145.39999389648438,143.9146270751953,74993500
2021-07-22,218.81333923339844,220.72332763671875,214.86666870117188,216.4199981689453,216.4199981689453,45317100,283.8399963378906,286.4200134277344,283.4200134277344,286.1400146484375,281.7197570800781,23384100,135.43020629882812,135.5736083984375,134.2351837158203,134.52198791503906,123.52113342285156,3466653,145.94000244140625,148.1999969482422,145.80999755859375,146.8000030517578,145.30032348632812,77338200
2021-07-23,215.45333862304688,216.26666259765625,212.43333435058594,214.4600067138672,214.4600067138672,43814700,287.3699951171875,289.989990234375,286.5,289.6700134277344,285.1952209472656,22768100,134.76100158691406,135.46844482421875,134.15870666503906,135.12428283691406,124.07417297363281,4680013,147.5500030517578,148.72000122070312,146.9199981689453,148.55999755859375,147.04237365722656,71447400
2021-07-26,216.99000549316406,222.73333740234375,215.70333862304688,219.2066650390625,219.2066650390625,76009800,289.0,289.69000244140625,286.6400146484375,289.04998779296875,284.584716796875,23176100,135.17208862304688,136.71128845214844,134.92352294921875,136.49139404296875,125.32948303222656,4441630,148.27000427246094,149.8300018310547,147.6999969482422,148.99000549316406,147.46798706054688,72434100
2021-07-27,221.13333129882812,222.1666717529297,209.0800018310547,214.92666625976562,214.92666625976562,98439900,289.42999267578125,289.5799865722656,282.95001220703125,286.5400085449219,282.113525390625,33604100,136.26194763183594,137.32313537597656,135.3728485107422,136.47227478027344,125.31193542480469,3281302,149.1199951171875,149.2100067138672,145.5500030517578,146.77000427246094,145.27066040039062,104818600
2021-07-28,215.6666717529297,218.32333374023438,213.13333129882812,215.66000366210938,215.66000366210938,48019800,288.989990234375,290.1499938964844,283.8299865722656,286.2200012207031,281.7984619140625,33566900,136.72084045410156,136.806884765625,135.4110870361328,135.53536987304688,124.45162963867188,2660815,144.80999755859375,146.97000122070312,142.5399932861328,144.97999572753906,143.49893188476562,118931200
2021-07-29,216.59666442871094,227.89666748046875,216.26666259765625,225.78334045410156,225.78334045410156,91183800,286.239990234375,288.6199951171875,286.0799865722656,286.5,282.07415771484375,18168300,136.07073974609375,136.67303466796875,135.3728485107422,135.68833923339844,124.59209442138672,2793761,144.69000244140625,146.5500030517578,144.5800018310547,145.63999938964844,144.1521759033203,56699500
2021-07-30,223.9199981689453,232.50999450683594,223.0,229.06666564941406,229.06666564941406,88969200,285.1700134277344,286.6600036621094,283.9100036621094,284.9100036621094,280.5087585449219,20944800,135.29637145996094,135.6118621826172,134.5984649658203,134.76100158691406,123.74059295654297,3698238,144.3800048828125,146.3300018310547,144.11000061035156,145.86000061035156,144.3699188232422,70440600
2021-08-02,233.3333282470703,242.31333923339844,232.8000030517578,236.55667114257812,236.55667114257812,100847400,286.3599853515625,286.7699890136719,283.739990234375,284.82000732421875,280.4201354980469,16267400,135.2294464111328,136.76864624023438,134.82791137695312,135.2007598876953,124.14439392089844,3064257,146.36000061035156,146.9499969482422,145.25,145.52000427246094,144.03341674804688,62880000
