,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM
2021-06-24 00:00:00-04:00,266.1600036621094,267.8500061035156,265.4700012207031,266.69000244140625,263.22784423828125,21446900,139.3881378173828,139.76100158691406,138.32696533203125,139.04397583007812,127.67332458496094,3775746
2021-06-25 00:00:00-04:00,266.2300109863281,267.25,264.760009765625,265.0199890136719,261.57952880859375,25611100,138.9866180419922,140.46844482421875,138.57553100585938,140.38241577148438,128.9022979736328,3759533
2021-06-28 00:00:00-04:00,266.19000244140625,268.8999938964844,265.9100036621094,268.7200012207031,265.2314758300781,19590000,140.54493713378906,140.82217407226562,138.53729248046875,138.90057373046875,127.54167175292969,4067789
2021-06-29 00:00:00-04:00,268.8699951171875,271.6499938964844,267.9800109863281,271.3999938964844,267.876708984375,19937800,138.87188720703125,140.28680419921875,138.71893310546875,139.14913940429688,127.76988983154297,2540211
2021-06-30 00:00:00-04:00,270.69000244140625,271.3599853515625,269.6000061035156,270.8999938964844,267.3832092285156,21656500,138.7476043701172,140.46844482421875,138.34608459472656,140.14340209960938,128.68284606933594,3394375
2021-07-01 00:00:00-04:00,269.6099853515625,271.8399963378906,269.6000061035156,271.6000061035156,268.0740966796875,16725300,140.49713134765625,141.0133819580078,140.12428283691406,140.38241577148438,128.9022979736328,2809661
2021-07-02 00:00:00-04:00,272.82000732421875,278.0,272.5,277.6499938964844,274.0455322265625,26458000,140.44932556152344,140.48757934570312,133.32696533203125,133.86233520507812,122.9154281616211,17584515
2021-07-06 00:00:00-04:00,278.0299987792969,279.3699951171875,274.29998779296875,277.6600036621094,274.0554504394531,31565600,133.83364868164062,134.24473571777344,131.07073974609375,132.67686462402344,121.82689666748047,8466010
2021-07-07 00:00:00-04:00,279.3999938964844,280.69000244140625,277.1499938964844,279.92999267578125,276.2959899902344,23260000,132.65774536132812,134.15870666503906,132.65774536132812,133.67112731933594,122.7398681640625,4246446
2021-07-08 00:00:00-04:00,276.8999938964844,278.7300109863281,274.8699951171875,277.4200134277344,273.81854248046875,24618600,131.72084045410156,135.09559631347656,131.6061248779297,134.55067443847656,123.54749298095703,5739820
2021-07-09 00:00:00-04:00,275.7200012207031,278.04998779296875,275.32000732421875,277.94000244140625,274.3318176269531,23916700,135.2294464111328,135.73614501953125,134.64627075195312,135.29637145996094,124.2322006225586,4083689
